,city,tmpd,dptp,date,pm25tmean2,pm10tmean2,o3tmean2,no2tmean2
127,chic,59.0,33.375,1987-05-08,,54.0,16.804824561,38.774122807
128,chic,69.5,43.75,1987-05-09,,56.166666667,42.796875,22.152777778
129,chic,74.5,51.5,1987-05-10,,,43.0125,20.173611111
130,chic,71.0,58.0,1987-05-11,,81.0,44.98627451,24.222222222
131,chic,51.5,32.75,1987-05-12,,12.0,25.338541667,18.017676768
132,chic,59.0,53.0,1987-05-13,,20.0,26.559103261,35.523358586
133,chic,69.0,53.375,1987-05-14,,,38.848958333,29.545138889
134,chic,56.5,33.875,1987-05-15,,21.571428571,24.020833333,19.023358586
135,chic,62.5,42.625,1987-05-16,,47.0,31.67553593,28.1772343
136,chic,70.5,63.625,1987-05-17,,63.0,50.448143116,22.879528986
137,chic,66.5,57.625,1987-05-18,,,24.833673007,27.201388889
138,chic,67.5,61.125,1987-05-19,,42.0,26.072172619,28.051771598
139,chic,66.5,59.75,1987-05-20,,47.0,15.274728261,21.791982323
140,chic,74.0,66.75,1987-05-21,,46.166666667,33.251811594,26.697916667
141,chic,61.5,49.75,1987-05-22,,,12.320652174,12.742149758
142,chic,51.0,45.625,1987-05-23,,13.0,10.578125,11.714015152
143,chic,50.5,45.125,1987-05-24,,,18.984375,11.673611111
144,chic,57.5,62.875,1987-05-25,,50.0,13.008928571,19.256944444
145,chic,73.0,67.625,1987-05-26,,28.0,29.871212121,26.819444444
146,chic,78.5,67.375,1987-05-27,,40.6,30.546875,25.158102767
147,chic,78.5,65.75,1987-05-28,,49.0,28.912228261,32.130434783
148,chic,78.5,67.125,1987-05-29,,50.0,26.130208333,36.056168831
149,chic,76.0,65.625,1987-05-30,,35.0,21.859375,33.566666667
150,chic,76.0,60.125,1987-05-31,,32.0,31.443452381,22.208333333
151,chic,74.5,68.5,1987-06-01,,30.0,34.1875,28.341666667
152,chic,72.0,64.75,1987-06-02,,33.666666667,18.338541667,37.35
153,chic,69.0,47.25,1987-06-03,,42.0,23.313360507,21.743055556
154,chic,63.0,45.0,1987-06-04,,45.0,20.427227437,25.611111111
155,chic,70.0,54.875,1987-06-05,,61.0,33.192708333,35.627525253
156,chic,71.0,54.625,1987-06-06,,57.0,43.744791667,34.167929293
157,chic,77.5,58.125,1987-06-07,,46.0,50.791666667,15.739583333
158,chic,74.5,60.25,1987-06-08,,51.5,49.212182971,23.107638889
159,chic,57.5,41.125,1987-06-09,,15.0,29.611186594,15.299305556
160,chic,61.0,51.0,1987-06-10,,50.0,28.733016304,29.298611111
161,chic,72.5,68.75,1987-06-11,,46.0,27.746117424,32.455176768
162,chic,80.0,62.0,1987-06-12,,41.0,29.290769104,24.245896465
163,chic,77.0,62.0,1987-06-13,,73.0,39.651041667,35.425
164,chic,83.0,68.5,1987-06-14,,43.666666667,45.421875,25.995833333
165,chic,73.5,48.5,1987-06-15,,28.0,33.754076087,22.205917874
166,chic,75.0,52.875,1987-06-16,,46.0,33.201388889,30.632638889
167,chic,77.0,61.0,1987-06-17,,71.0,54.961891822,47.925422705
168,chic,80.5,62.75,1987-06-18,,90.0,62.969655797,43.816666667
169,chic,77.5,61.375,1987-06-19,,80.0,47.268914474,51.175
170,chic,77.0,73.625,1987-06-20,,59.833333333,45.697916667,32.875
171,chic,76.0,71.125,1987-06-21,,42.0,32.77827381,20.381944444
172,chic,67.0,59.0,1987-06-22,,52.0,25.053934889,25.232434641
173,chic,72.5,57.75,1987-06-23,,49.0,32.218452381,39.979166667
174,chic,76.0,65.75,1987-06-24,,63.0,49.080208333,42.871221532
175,chic,70.5,62.0,1987-06-25,,53.0,33.878658027,29.284905915
176,chic,69.0,50.75,1987-06-26,,31.8,20.46875,20.697916667
177,chic,64.5,48.25,1987-06-27,,36.0,21.619791667,15.802083333
178,chic,72.0,53.625,1987-06-28,,34.0,31.963768116,15.935326087
179,chic,72.5,66.0,1987-06-29,,43.0,27.78125,24.575
180,chic,70.5,63.0,1987-06-30,,43.0,18.46875,28.152777778
181,chic,68.5,60.625,1987-07-01,,22.0,32.296875,20.018578644
182,chic,71.0,60.25,1987-07-02,,45.5,36.267045455,27.24611244
183,chic,77.5,60.375,1987-07-03,,48.0,42.916666667,18.784722222
184,chic,72.5,59.5,1987-07-04,,24.0,31.895833333,13.871527778
185,chic,72.5,69.125,1987-07-05,,,22.630208333,16.260416667
186,chic,80.0,69.0,1987-07-06,,33.0,31.111842105,22.660220627
187,chic,80.0,69.125,1987-07-07,,,34.342617754,23.083333333
188,chic,80.5,69.25,1987-07-08,,38.0,30.851675725,23.014794686
189,chic,80.5,67.625,1987-07-09,,31.0,24.947916667,20.157828283
190,chic,80.0,67.625,1987-07-10,,33.0,23.380208333,21.625
191,chic,80.0,73.5,1987-07-11,,79.0,29.125,16.548611111
192,chic,79.5,65.5,1987-07-12,,47.0,29.640625,13.017361111
193,chic,64.5,58.75,1987-07-13,,33.0,9.6912202381,18.666666667
194,chic,67.0,53.0,1987-07-14,,21.4,21.863839286,20.5625
195,chic,63.0,54.375,1987-07-15,,17.0,23.182291667,20.879103535
196,chic,65.5,58.625,1987-07-16,,28.0,31.520833333,19.961422258
197,chic,78.0,67.0,1987-07-17,,39.0,42.872767857,25.000992063
198,chic,79.5,68.375,1987-07-18,,51.0,47.791666667,19.190972222
199,chic,84.5,73.625,1987-07-19,,72.0,47.052083333,13.371527778
200,chic,81.5,67.625,1987-07-20,,65.428571429,40.498958333,18.458333333
201,chic,81.0,71.25,1987-07-21,,58.0,58.167912138,36.628010697
202,chic,80.5,69.625,1987-07-22,,98.0,45.282738095,36.354166667
203,chic,82.0,70.0,1987-07-23,,117.0,59.15625,25.981060606
204,chic,83.0,71.25,1987-07-24,,79.0,35.690217391,23.213224638
205,chic,84.5,71.125,1987-07-25,,53.0,43.81547619,22.654166667
206,chic,78.5,66.25,1987-07-26,,29.5,27.773809524,20.004166667
207,chic,71.0,62.625,1987-07-27,,32.0,15.773809524,30.754166667
208,chic,72.5,63.25,1987-07-28,,37.0,20.267857143,29.615909091
209,chic,78.0,70.25,1987-07-29,,25.0,25.029011605,33.510714286
210,chic,79.5,72.375,1987-07-30,,75.0,50.369047619,27.391666667
211,chic,80.5,75.75,1987-07-31,,48.0,38.417184265,28.429498792
212,chic,87.0,75.25,1987-08-01,,57.571428571,40.232142857,21.694444444
213,chic,86.0,73.875,1987-08-02,,46.0,46.654761905,15.486111111
214,chic,83.0,68.625,1987-08-03,,54.0,30.9745671,29.805555556
215,chic,75.0,60.625,1987-08-04,,21.0,20.549278846,14.288194444
216,chic,72.0,55.75,1987-08-05,,15.0,20.291666667,12.784722222
217,chic,72.0,62.125,1987-08-06,,50.0,29.57664462,32.699206349
218,chic,79.5,67.375,1987-08-07,,51.285714286,45.322916667,27.652777778
219,chic,73.5,73.625,1987-08-08,,56.0,23.03125,24.600694444
220,chic,72.5,64.125,1987-08-09,,29.0,26.755208333,10.305555556
221,chic,71.0,63.125,1987-08-10,,24.0,29.410714286,20.023809524
222,chic,74.5,61.875,1987-08-11,,41.0,33.84375,25.666666667
223,chic,76.0,63.625,1987-08-12,,80.0,37.088541667,33.645833333
224,chic,75.5,69.5,1987-08-13,,63.4,36.197916667,36.48218599
225,chic,74.0,74.625,1987-08-14,,49.5,24.232843137,18.595734127
226,chic,79.5,75.875,1987-08-15,,41.0,33.375,13.159269324
227,chic,80.0,73.875,1987-08-16,,44.5,32.272959184,9.3382936508
228,chic,73.5,60.25,1987-08-17,,39.0,26.676339286,14.927083333
229,chic,69.5,64.25,1987-08-18,,48.0,14.058779762,31.393719807
230,chic,70.0,56.75,1987-08-19,,31.666666667,18.388888889,23.345643939
231,chic,70.0,62.625,1987-08-20,,49.0,30.51875,26.729166667
232,chic,76.0,72.5,1987-08-21,,43.0,37.942708333,20.905934343
233,chic,71.5,54.625,1987-08-22,,32.0,23.864583333,12.909722222
234,chic,63.0,49.0,1987-08-23,,24.0,17.727807971,14.427777778
235,chic,61.5,51.375,1987-08-24,,43.0,12.594983553,21.585416667
236,chic,59.0,58.0,1987-08-25,,36.0,6.665625,30.631944444
237,chic,62.0,63.25,1987-08-26,,50.0,8.207521645,22.983333333
238,chic,63.5,61.375,1987-08-27,,20.0,13.71875,19.690025253
239,chic,63.5,54.625,1987-08-28,,32.0,21.942708333,22.045833333
240,chic,65.5,57.0,1987-08-29,,,18.15625,26.399305556
241,chic,72.0,59.625,1987-08-30,,35.0,22.622735507,16.85940931
242,chic,62.0,46.5,1987-08-31,,25.0,15.921875,18.118292788
243,chic,64.0,49.5,1987-09-01,,38.5,17.932291667,22.520833333
244,chic,61.5,50.125,1987-09-02,,17.0,21.161458333,15.746527778
245,chic,60.5,49.25,1987-09-03,,24.0,20.302083333,22.481064527
246,chic,69.0,59.125,1987-09-04,,,31.338541667,37.317234848
247,chic,73.0,57.375,1987-09-05,,,46.057291667,36.465277778
248,chic,75.0,66.25,1987-09-06,,60.666666667,38.197916667,32.510416667
249,chic,70.5,65.625,1987-09-07,,,22.786911232,21.3125
250,chic,72.0,63.5,1987-09-08,,,25.401041667,31.868055556
251,chic,68.5,56.125,1987-09-09,,,18.833333333,22.885416667
252,chic,67.5,57.75,1987-09-10,,,26.505208333,27.686896135
253,chic,69.0,57.0,1987-09-11,,,22.440217391,31.030797101
254,chic,68.0,50.375,1987-09-12,,33.5,15.8125,23.503472222
255,chic,59.0,53.25,1987-09-13,,,12.359375,21.166666667
256,chic,61.5,58.0,1987-09-14,,,18.895833333,27.961805556
257,chic,72.0,66.0,1987-09-15,,,15.434782609,28.386171498
258,chic,69.0,66.875,1987-09-16,,33.0,10.204710145,25.618055556
259,chic,67.5,64.25,1987-09-17,,30.0,13.523809524,18.876262626
260,chic,63.5,60.375,1987-09-18,,25.25,6.8928571429,17.644886364
261,chic,61.0,50.25,1987-09-19,,,12.642857143,16.395833333
262,chic,57.0,50.875,1987-09-20,,,7.4047619048,11.820833333
263,chic,55.5,54.75,1987-09-21,,29.0,4.9523809524,16.641666667
264,chic,61.0,52.5,1987-09-22,,,7.2639751553,15.906812692
265,chic,63.0,51.0,1987-09-23,,38.0,13.136904762,20.427083333
266,chic,59.5,46.25,1987-09-24,,23.0,16.130952381,16.267361111
267,chic,56.5,43.0,1987-09-25,,55.0,14.017857143,30.210144928
268,chic,65.0,53.375,1987-09-26,,42.0,22.494047619,35.895833333
269,chic,75.5,54.0,1987-09-27,,49.0,27.547619048,30.091666667
270,chic,69.0,61.125,1987-09-28,,57.0,30.017857143,33.758333333
271,chic,61.5,52.375,1987-09-29,,34.0,12.732142857,16.118452381
272,chic,55.0,35.625,1987-09-30,,26.8,10.909722222,18.558333333
273,chic,55.5,46.375,1987-10-01,,44.0,17.303571429,20.9625
274,chic,47.0,32.25,1987-10-02,,52.0,15.02820911,9.9668478261
275,chic,42.5,29.875,1987-10-03,,52.0,15.392857143,19.545833333
276,chic,52.0,30.75,1987-10-04,,50.0,19.148809524,19.566666667
277,chic,60.0,41.25,1987-10-05,,48.0,14.813095238,18.313333333
278,chic,45.5,38.0,1987-10-06,,24.166666667,6.9729437229,9.2583333333
279,chic,39.5,26.875,1987-10-07,,36.0,13.31547619,13.863586957
280,chic,41.5,26.875,1987-10-08,,41.0,10.518115942,27.595833333
281,chic,53.5,31.25,1987-10-09,,38.0,11.563664596,19.609027778
282,chic,42.5,32.625,1987-10-10,,28.0,8.7380952381,21.152777778
283,chic,39.0,25.5,1987-10-11,,32.0,14.633333333,23.298611111
284,chic,42.5,30.375,1987-10-12,,41.5,12.41468254,39.048611111
285,chic,49.5,33.375,1987-10-13,,,15.115609287,40.270652174
286,chic,55.5,38.125,1987-10-14,,41.0,10.79859335,40.230676329
287,chic,63.0,36.0,1987-10-15,,52.0,24.447593168,43.208333333
288,chic,62.5,55.125,1987-10-16,,58.0,28.56547619,35.803571429
289,chic,48.0,42.125,1987-10-17,,19.0,9.2202380952,11.263888889
290,chic,53.5,43.75,1987-10-18,,26.857142857,15.970238095,23.086805556
291,chic,49.5,40.25,1987-10-19,,11.0,18.869047619,22.225694444
292,chic,45.5,32.375,1987-10-20,,24.0,15.281099034,17.855654762
293,chic,37.0,33.25,1987-10-21,,20.5,6.4679487179,14.982638889
294,chic,43.0,34.25,1987-10-22,,25.0,6.7532467532,23.254227053
295,chic,39.0,31.125,1987-10-23,,50.0,8.3148809524,25.238636364
296,chic,38.5,33.5,1987-10-24,,28.4,7.5357142857,23.8125
297,chic,42.0,31.125,1987-10-25,,,11.125,23.892361111
298,chic,44.5,45.375,1987-10-26,,33.0,5.0714285714,27.041666667
299,chic,44.5,34.5,1987-10-27,,31.0,10.175724638,19.588068182
300,chic,38.5,28.875,1987-10-28,,31.0,5.0713364293,24.832054094
301,chic,44.5,37.75,1987-10-29,,48.0,7.2569444444,33.360205314
302,chic,54.5,42.875,1987-10-30,,50.666666667,16.93452381,31.461805556
303,chic,52.0,49.375,1987-10-31,,60.0,12.571428571,22.510416667
304,chic,58.0,58.5,1987-11-01,,30.0,9.7445652174,30.340277778
305,chic,64.0,56.625,1987-11-02,,46.0,11.550865801,35.236111111
306,chic,66.0,49.875,1987-11-03,,,29.458333333,32.503787879
307,chic,56.5,38.25,1987-11-04,,47.0,19.166666667,19.04160401
308,chic,40.5,19.875,1987-11-05,,25.5,20.166666667,19.131439394
309,chic,39.5,25.75,1987-11-06,,43.0,9.5,27.254166667
310,chic,45.5,29.5,1987-11-07,,46.0,2.75,31.6875
311,chic,49.5,41.75,1987-11-08,,66.0,23.291666667,25.416666667
312,chic,35.0,18.5,1987-11-09,,18.0,25.666666667,24.619791667
313,chic,34.0,24.875,1987-11-10,,12.0,27.75,25.354166667
314,chic,35.0,23.75,1987-11-11,,31.285714286,7.9583333333,27.569444444
315,chic,43.5,31.125,1987-11-12,,47.0,7.0,31.238677536
316,chic,48.5,31.375,1987-11-13,,55.0,2.875,29.825181159
317,chic,47.0,31.125,1987-11-14,,18.0,9.875,28.666666667
318,chic,50.5,32.0,1987-11-15,,51.0,19.25,36.916666667
319,chic,56.0,56.0,1987-11-16,,34.0,17.666666667,30.385416667
320,chic,50.0,35.375,1987-11-17,,18.333333333,12.708333333,10.67798913
321,chic,38.0,29.25,1987-11-18,,,10.347826087,15.73336039
322,chic,37.5,26.0,1987-11-19,,29.0,10.833333333,20.044642857
323,chic,27.5,10.375,1987-11-20,,34.0,25.041666667,13.951893939
324,chic,25.5,11.5,1987-11-21,,27.0,11.291666667,23.741666667
325,chic,42.0,28.75,1987-11-22,,,11.333333333,18.966666667
326,chic,43.5,31.75,1987-11-23,,30.333333333,8.7727272727,12.654166667
327,chic,39.5,39.375,1987-11-24,,52.0,8.8333333333,14.596491228
328,chic,40.0,36.875,1987-11-25,,10.0,13.125,14.988561077
329,chic,40.0,35.875,1987-11-26,,15.0,23.583333333,7.8666666667
330,chic,40.5,39.5,1987-11-27,,,11.0,13.041666667
331,chic,47.0,45.5,1987-11-28,,,4.4583333333,17.491666667
332,chic,39.0,34.625,1987-11-29,,12.142857143,2.125,11.645833333
333,chic,37.0,35.5,1987-11-30,,,4.1666666667,13.620833333
334,chic,32.0,24.125,1987-12-01,,28.0,13.47826087,16.891666667
335,chic,30.0,26.375,1987-12-02,,23.0,9.25,15.241666667
336,chic,30.5,26.25,1987-12-03,,30.0,6.625,19.433333333
337,chic,27.0,19.625,1987-12-04,,35.0,12.541666667,21.457575758
338,chic,27.0,24.625,1987-12-05,,24.666666667,13.875,24.675
339,chic,31.5,29.0,1987-12-06,,22.0,15.291666667,21.966666667
340,chic,38.5,36.25,1987-12-07,,25.0,6.4166666667,21.766666667
341,chic,46.5,49.5,1987-12-08,,28.0,2.9583333333,22.649637681
342,chic,49.5,34.375,1987-12-09,,21.0,9.0416666667,12.475
343,chic,38.0,31.125,1987-12-10,,32.0,7.25,17.917934783
344,chic,41.0,33.625,1987-12-11,,23.0,2.5833333333,23.375
345,chic,35.0,23.75,1987-12-12,,29.0,11.041666667,9.2041666667
346,chic,31.5,23.5,1987-12-13,,34.0,13.166666667,13.295833333
347,chic,30.0,27.5,1987-12-14,,43.0,13.0,24.991666667
348,chic,31.0,24.25,1987-12-15,,19.0,9.0526315789,11.124122807
349,chic,27.5,16.625,1987-12-16,,36.0,12.083333333,11.2625
350,chic,20.5,11.75,1987-12-17,,27.2,8.0869565217,23.483333333
351,chic,23.0,25.75,1987-12-18,,36.0,2.8704710145,22.741666667
352,chic,34.0,35.0,1987-12-19,,21.5,2.3958333333,21.945833333
353,chic,34.0,21.25,1987-12-20,,25.0,9.8125,15.675
354,chic,33.0,26.125,1987-12-21,,,6.875,21.953804348
355,chic,35.0,29.125,1987-12-22,,,2.7391304348,29.456521739
356,chic,35.5,31.25,1987-12-23,,36.0,3.5,24.966666667
357,chic,41.0,39.75,1987-12-24,,,2.3958333333,21.675
358,chic,33.0,25.5,1987-12-25,,16.0,15.145833333,11.133333333
359,chic,27.5,23.75,1987-12-26,,,18.625,17.391666667
360,chic,29.0,28.375,1987-12-27,,45.0,10.041666667,26.691666667
361,chic,33.5,30.75,1987-12-28,,,18.229166667,15.641666667
362,chic,24.5,20.25,1987-12-29,,20.666666667,19.416666667,23.804924242
363,chic,25.5,27.625,1987-12-30,,,4.3458333333,31.690656566
364,chic,23.5,7.25,1987-12-31,,21.0,16.083333333,16.770833333
365,chic,3.5,-3.625,1988-01-01,,,19.958333333,14.138888889
366,chic,15.0,15.375,1988-01-02,,,7.8125,25.736111111
367,chic,24.5,16.75,1988-01-03,,25.0,8.6458333333,21.722222222
368,chic,5.0,-15.875,1988-01-04,,26.0,18.211309524,12.665714286
369,chic,-6.5,-15.75,1988-01-05,,24.0,13.166666667,17.220833333
370,chic,-5.5,-15.125,1988-01-06,,75.0,7.1458333333,27.665942029
371,chic,3.0,-1.875,1988-01-07,,74.0,2.5208333333,52.1
372,chic,8.5,2.75,1988-01-08,,87.0,4.6594202899,42.885041408
373,chic,0.5,-12.25,1988-01-09,,48.0,7.3958333333,26.45
374,chic,1.5,-1.625,1988-01-10,,36.333333333,6.9166666667,31.175
375,chic,24.0,22.25,1988-01-11,,39.0,6.4791666667,25.883333333
376,chic,28.5,15.5,1988-01-12,,43.0,16.9375,16.528623188
377,chic,12.0,-0.375,1988-01-13,,51.0,13.854166667,21.423484848
378,chic,11.0,9.375,1988-01-14,,46.0,3.4583333333,32.825
379,chic,28.0,22.75,1988-01-15,,28.0,4.2291666667,24.6
